code,source_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
15130,"Dermal autograft, trunk, arms, legs; first 100 sq cm or less, or 1 per cent of body area of infants and",Hand Surgery,already_present,verified,,7.34,23.09,90,771.23,PPRRVU2026_Jul_nonQPP.csv
15131,"Dermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent of body area",Hand Surgery,already_present,verified,,1.46,3.09,0,103.21,PPRRVU2026_Jul_nonQPP.csv
15135,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple",Hand Surgery,already_present,verified,,10.75,26.99,90,901.49,PPRRVU2026_Jul_nonQPP.csv
15136,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple",Hand Surgery,already_present,verified,,1.46,3.04,0,101.54,PPRRVU2026_Jul_nonQPP.csv
15170,"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15171,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15175,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15176,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15220,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; 20 sq cm or less",Hand Surgery,already_present,verified,,7.89,23.44,90,782.92,PPRRVU2026_Jul_nonQPP.csv
15221,"Full thickness graft, free, including direct closure of donor site, scalp, arms, and/or legs; each additional 20 sq cm",Hand Surgery,already_present,verified,,1.16,4.01,0,133.94,PPRRVU2026_Jul_nonQPP.csv
15240,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less",Hand Surgery,already_present,verified,,10.15,28.07,90,937.56,PPRRVU2026_Jul_nonQPP.csv
15241,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck,",Hand Surgery,already_present,verified,,1.81,5.38,0,179.7,PPRRVU2026_Jul_nonQPP.csv
15300,"Allograft skin for temporary wound closure, trunk, arms, legs; first 100 sq cm less, or 1 per cent of body area of infants and children",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15301,"Allograft skin for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15320,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15321,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm, or each additional 1 per cent of body area",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15330,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and children",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15335,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; first 100 sq cm or less, or 1 per cent of body area of infants and children",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
