surface,code,modifier,wrvu,location
index_specs,12051,,2.27,General Surgery[124]
index_specs,12052,,2.8,General Surgery[125]
index_specs,12053,,3.09,General Surgery[126]
index_specs,12054,,3.41,General Surgery[127]
index_specs,12055,,4.39,General Surgery[128]
index_specs,12056,,5.17,General Surgery[129]
index_specs,12057,,5.85,General Surgery[130]
index_specs,13101,,3.41,General Surgery[131]
index_specs,13102,,1.21,General Surgery[132]
index_specs,13120,,3.15,General Surgery[133]
index_specs,13121,,3.9,General Surgery[134]
index_specs,13122,,1.4,General Surgery[135]
index_specs,13131,,3.64,General Surgery[136]
index_specs,13132,,4.66,General Surgery[137]
index_specs,13133,,2.14,General Surgery[138]
index_specs,13151,,4.23,General Surgery[139]
index_specs,13152,,5.21,General Surgery[140]
index_specs,13153,,2.32,General Surgery[141]
index_specs,13160,,11.74,General Surgery[142]
index_specs,15756,,36.02,General Surgery[143]
index_specs,16020,,0.69,General Surgery[144]
index_specs,16025,,1.7,General Surgery[145]
index_specs,16030,,2.03,General Surgery[146]
index_specs,16035,,3.65,General Surgery[147]
index_specs,19083,,3.02,General Surgery[148]
index_specs,19101,,3.15,General Surgery[149]
index_specs,19125,,6.52,General Surgery[150]
index_specs,19301,,9.88,General Surgery[151]
index_specs,19302,,13.64,General Surgery[152]
index_specs,19303,,14.63,General Surgery[153]
index_specs,19305,,17.02,General Surgery[154]
index_specs,19307,,17.54,General Surgery[155]
index_specs,36568,,2.06,General Surgery[156]
index_specs,38102,,4.67,General Surgery[157]
index_specs,38115,,21.33,General Surgery[158]
index_specs,38500,,3.7,General Surgery[159]
index_specs,38505,,1.55,General Surgery[160]
index_specs,38510,,6.57,General Surgery[161]
index_specs,38700,,12.49,General Surgery[162]
index_specs,38720,,21.4,General Surgery[163]
index_specs,38724,,23.35,General Surgery[164]
index_specs,38740,,10.43,General Surgery[165]
index_specs,38745,,13.52,General Surgery[166]
index_specs,38760,,13.28,General Surgery[167]
index_specs,39402,,7.07,General Surgery[168]
index_specs,39501,,13.63,General Surgery[169]
index_specs,39503,,106.19,General Surgery[170]
index_specs,39540,,14.21,General Surgery[171]
index_specs,39560,,12.73,General Surgery[172]
index_specs,43100,,9.42,General Surgery[173]
index_specs,43101,,16.64,General Surgery[174]
index_specs,43107,,50.75,General Surgery[175]
index_specs,43108,,80.8,General Surgery[176]
index_specs,43112,,60.45,General Surgery[177]
index_specs,43116,,90.67,General Surgery[178]
index_specs,43117,,56.06,General Surgery[179]
index_specs,43118,,65.39,General Surgery[180]
index_specs,43121,,50.14,General Surgery[181]
index_specs,43122,,43.08,General Surgery[182]
index_specs,43124,,67.36,General Surgery[183]
index_specs,43130,,12.22,General Surgery[184]
index_specs,43135,,25.52,General Surgery[185]
index_specs,43180,,8.8,General Surgery[186]
index_specs,43191,,2.43,General Surgery[187]
index_specs,43197,,1.48,General Surgery[188]
index_specs,43200,,1.38,General Surgery[189]
index_specs,43215,,2.38,General Surgery[190]
index_specs,43216,,2.24,General Surgery[191]
index_specs,43217,,2.73,General Surgery[192]
index_specs,43220,,1.95,General Surgery[193]
index_specs,43226,,2.18,General Surgery[194]
index_specs,43227,,2.82,General Surgery[195]
index_specs,43229,,3.4,General Surgery[196]
index_specs,43233,,3.97,General Surgery[197]
index_specs,43235,,2.04,General Surgery[198]
index_specs,43236,,2.33,General Surgery[199]
index_specs,43237,,3.38,General Surgery[200]
index_specs,43238,,4.06,General Surgery[201]
index_specs,43239,,2.33,General Surgery[202]
index_specs,43240,,6.97,General Surgery[203]
index_specs,43241,,2.43,General Surgery[204]
index_specs,43242,,4.61,General Surgery[205]
index_specs,43243,,4.16,General Surgery[206]
index_specs,43244,,4.29,General Surgery[207]
index_specs,43245,,3.0,General Surgery[208]
index_specs,43246,,3.47,General Surgery[209]
index_specs,43247,,3.03,General Surgery[210]
index_specs,43249,,2.6,General Surgery[211]
index_specs,43250,,2.9,General Surgery[212]
index_specs,43252,,2.89,General Surgery[213]
index_specs,43253,,4.61,General Surgery[214]
index_specs,43254,,4.75,General Surgery[215]
index_specs,43266,,3.82,General Surgery[216]
index_specs,43520,,11.01,General Surgery[217]
index_specs,43659,,0.0,General Surgery[218]
index_specs,43830,,10.58,General Surgery[219]
index_specs,43840,,22.26,General Surgery[220]
index_specs,44005,,18.0,General Surgery[221]
index_specs,44015,,2.55,General Surgery[222]
index_specs,44020,,15.81,General Surgery[223]
index_specs,44050,,15.13,General Surgery[224]
index_specs,44055,,24.99,General Surgery[225]
index_specs,44144,,29.16,General Surgery[226]
index_specs,44145,,27.87,General Surgery[227]
index_specs,44146,,34.42,General Surgery[228]
index_specs,44147,,32.85,General Surgery[229]
index_specs,44150,,29.43,General Surgery[230]
index_specs,44151,,34.05,General Surgery[231]
index_specs,44156,,36.48,General Surgery[232]
index_specs,44157,,34.81,General Surgery[233]
index_specs,44158,,35.78,General Surgery[234]
index_specs,44160,,20.37,General Surgery[235]
index_specs,44180,,14.89,General Surgery[236]
index_specs,44186,,10.12,General Surgery[237]
index_specs,44187,,16.97,General Surgery[238]
index_specs,44188,,18.87,General Surgery[239]
index_specs,44203,,4.33,General Surgery[240]
index_specs,44206,,29.05,General Surgery[241]
