code,modifier,canonical_key,work_rvu,status_indicator,global_indicator,description,source_file,source_year
D7840,,D7840|,0.00,R,YYY,Removal of tmj condyle,PPRRVU2026_Apr_nonQPP.csv,2026
D7850,,D7850|,0.00,R,YYY,Tmj meniscectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7852,,D7852|,0.00,R,YYY,Tmj repair of joint disc,PPRRVU2026_Apr_nonQPP.csv,2026
D7854,,D7854|,0.00,R,YYY,Tmj excisn of joint membrane,PPRRVU2026_Apr_nonQPP.csv,2026
D7856,,D7856|,0.00,R,YYY,Tmj cutting of a muscle,PPRRVU2026_Apr_nonQPP.csv,2026
D7858,,D7858|,0.00,R,YYY,Tmj reconstruction,PPRRVU2026_Apr_nonQPP.csv,2026
D7860,,D7860|,0.00,R,YYY,Tmj cutting into joint,PPRRVU2026_Apr_nonQPP.csv,2026
D7865,,D7865|,0.00,R,YYY,Tmj reshaping components,PPRRVU2026_Apr_nonQPP.csv,2026
D7870,,D7870|,0.00,R,YYY,Tmj aspiration joint fluid,PPRRVU2026_Apr_nonQPP.csv,2026
D7871,,D7871|,0.00,R,YYY,Lysis + lavage w catheters,PPRRVU2026_Apr_nonQPP.csv,2026
D7872,,D7872|,0.00,R,YYY,Tmj diagnostic arthroscopy,PPRRVU2026_Apr_nonQPP.csv,2026
D7873,,D7873|,0.00,R,YYY,Tmj arthroscopy lysis adhesn,PPRRVU2026_Apr_nonQPP.csv,2026
D7874,,D7874|,0.00,R,YYY,Tmj arthroscopy disc reposit,PPRRVU2026_Apr_nonQPP.csv,2026
D7875,,D7875|,0.00,R,YYY,Tmj arthroscopy synovectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7876,,D7876|,0.00,R,YYY,Tmj arthroscopy discectomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7877,,D7877|,0.00,R,YYY,Tmj arthroscopy debridement,PPRRVU2026_Apr_nonQPP.csv,2026
D7880,,D7880|,0.00,R,YYY,Occlusal orthotic appliance,PPRRVU2026_Apr_nonQPP.csv,2026
D7881,,D7881|,0.00,R,YYY,Occ orthotic device adjust,PPRRVU2026_Apr_nonQPP.csv,2026
D7899,,D7899|,0.00,R,YYY,Tmj unspecified therapy,PPRRVU2026_Apr_nonQPP.csv,2026
D7910,,D7910|,0.00,R,YYY,Dent sutur recent wnd to 5cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7911,,D7911|,0.00,R,YYY,Dental suture wound to 5 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7912,,D7912|,0.00,R,YYY,Suture complicate wnd > 5 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7920,,D7920|,0.00,R,YYY,Dental skin graft,PPRRVU2026_Apr_nonQPP.csv,2026
D7921,,D7921|,0.00,R,YYY,Collect & appl blood product,PPRRVU2026_Apr_nonQPP.csv,2026
D7922,,D7922|,0.00,R,YYY,Place intra-socket bio dress,PPRRVU2026_Apr_nonQPP.csv,2026
D7939,,D7939|,0.00,R,YYY,Indexing for osteotomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7940,,D7940|,0.00,R,YYY,Reshaping bone orthognathic,PPRRVU2026_Apr_nonQPP.csv,2026
D7941,,D7941|,0.00,R,YYY,Bone cutting ramus closed,PPRRVU2026_Apr_nonQPP.csv,2026
