code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
A4296,Coude tip hydrophilic cath,X,0.00,0.00,0.00,XXX,33.4009
A4297,Hydrophilic coat insert sup,X,0.00,0.00,0.00,XXX,33.4009
A4300,Cath impl vasc access portal,B,0.00,0.00,0.00,XXX,33.4009
A4301,Implantable access syst perc,P,0.00,0.00,0.00,XXX,33.4009
A4305,Drug delivery system >=50 ml,P,0.00,0.00,0.00,XXX,33.4009
A4306,Drug delivery system <=50 ml,P,0.00,0.00,0.00,XXX,33.4009
A4310,Insert tray w/o bag/cath,P,0.00,0.00,0.00,XXX,33.4009
A4311,Catheter w/o bag 2-way latex,P,0.00,0.00,0.00,XXX,33.4009
A4312,Cath w/o bag 2-way silicone,P,0.00,0.00,0.00,XXX,33.4009
A4313,Catheter w/bag 3-way,P,0.00,0.00,0.00,XXX,33.4009
A4314,Cath w/drainage 2-way latex,P,0.00,0.00,0.00,XXX,33.4009
A4315,Cath w/drainage 2-way silcne,P,0.00,0.00,0.00,XXX,33.4009
A4316,Cath w/drainage 3-way,P,0.00,0.00,0.00,XXX,33.4009
A4318,Fem urinary cup w/wo attch,P,0.00,0.00,0.00,XXX,33.4009
A4320,Irrigation tray,P,0.00,0.00,0.00,XXX,33.4009
A4321,Cath therapeutic irrig agent,X,0.00,0.00,0.00,XXX,33.4009
A4322,Irrigation syringe,P,0.00,0.00,0.00,XXX,33.4009
A4326,Male external catheter,P,0.00,0.00,0.00,XXX,33.4009
A4327,Fem urinary collect dev cup,P,0.00,0.00,0.00,XXX,33.4009
A4328,Fem urinary collect pouch,P,0.00,0.00,0.00,XXX,33.4009
A4330,Stool collection pouch,P,0.00,0.00,0.00,XXX,33.4009
A4331,Extension drainage tubing,X,0.00,0.00,0.00,XXX,33.4009
A4332,Lube sterile packet,X,0.00,0.00,0.00,XXX,33.4009
A4333,Urinary cath anchor device,X,0.00,0.00,0.00,XXX,33.4009
A4334,Urinary cath leg strap,X,0.00,0.00,0.00,XXX,33.4009
A4335,Incontinence supply,P,0.00,0.00,0.00,XXX,33.4009
A4336,Urethral insert,X,0.00,0.00,0.00,XXX,33.4009
A4337,Incontinent rectal insert,X,0.00,0.00,0.00,XXX,33.4009
A4338,Indwelling catheter latex,P,0.00,0.00,0.00,XXX,33.4009
A4340,Indwelling catheter special,P,0.00,0.00,0.00,XXX,33.4009
A4341,Iduc valve pat inst repl,X,0.00,0.00,0.00,XXX,33.4009
A4342,Iduc valve sply repl,X,0.00,0.00,0.00,XXX,33.4009
A4344,Cath indw foley 2 way silicn,P,0.00,0.00,0.00,XXX,33.4009
A4346,Cath indw foley 3 way,P,0.00,0.00,0.00,XXX,33.4009
A4349,Disposable male external cat,X,0.00,0.00,0.00,XXX,33.4009
A4351,Straight tip urine catheter,P,0.00,0.00,0.00,XXX,33.4009
A4352,Coude tip urinary catheter,P,0.00,0.00,0.00,XXX,33.4009
A4353,Intermittent urinary cath,X,0.00,0.00,0.00,XXX,33.4009
A4354,Cath insertion tray w/bag,P,0.00,0.00,0.00,XXX,33.4009
A4355,Bladder irrigation tubing,P,0.00,0.00,0.00,XXX,33.4009
A4356,Ext ureth clmp or compr dvc,P,0.00,0.00,0.00,XXX,33.4009
A4357,Bedside drainage bag,P,0.00,0.00,0.00,XXX,33.4009
A4358,Urinary leg or abdomen bag,P,0.00,0.00,0.00,XXX,33.4009
A4360,Disposable ext urethral dev,X,0.00,0.00,0.00,XXX,33.4009
A4361,Ostomy face plate,P,0.00,0.00,0.00,XXX,33.4009
A4362,Solid skin barrier,P,0.00,0.00,0.00,XXX,33.4009
A4363,"Ostomy clamp, replacement",X,0.00,0.00,0.00,XXX,33.4009
A4364,"Adhesive, liquid or equal",P,0.00,0.00,0.00,XXX,33.4009
A4366,Ostomy vent,X,0.00,0.00,0.00,XXX,33.4009
A4367,Ostomy belt,P,0.00,0.00,0.00,XXX,33.4009
A4368,Ostomy filter,X,0.00,0.00,0.00,XXX,33.4009
A4369,Skin barrier liquid per oz,X,0.00,0.00,0.00,XXX,33.4009
A4371,Skin barrier powder per oz,X,0.00,0.00,0.00,XXX,33.4009
A4372,Skin barrier solid 4x4 equiv,X,0.00,0.00,0.00,XXX,33.4009
A4373,Skin barrier with flange,X,0.00,0.00,0.00,XXX,33.4009
A4375,Drainable plastic pch w fcpl,X,0.00,0.00,0.00,XXX,33.4009
A4376,Drainable rubber pch w fcplt,X,0.00,0.00,0.00,XXX,33.4009
A4377,Drainable plstic pch w/o fp,X,0.00,0.00,0.00,XXX,33.4009
A4378,Drainable rubber pch w/o fp,X,0.00,0.00,0.00,XXX,33.4009
A4379,Urinary plastic pouch w fcpl,X,0.00,0.00,0.00,XXX,33.4009
A4380,Urinary rubber pouch w fcplt,X,0.00,0.00,0.00,XXX,33.4009
A4381,Urinary plastic pouch w/o fp,X,0.00,0.00,0.00,XXX,33.4009
A4382,Urinary hvy plstc pch w/o fp,X,0.00,0.00,0.00,XXX,33.4009
A4383,Urinary rubber pouch w/o fp,X,0.00,0.00,0.00,XXX,33.4009
A4384,Ostomy faceplt/silicone ring,X,0.00,0.00,0.00,XXX,33.4009
A4385,Ost skn barrier sld ext wear,X,0.00,0.00,0.00,XXX,33.4009
A4387,Ost clsd pouch w att st barr,X,0.00,0.00,0.00,XXX,33.4009
A4388,Drainable pch w ex wear barr,X,0.00,0.00,0.00,XXX,33.4009
A4389,Drainable pch w st wear barr,X,0.00,0.00,0.00,XXX,33.4009
A4390,Drainable pch ex wear convex,X,0.00,0.00,0.00,XXX,33.4009
A4391,Urinary pouch w ex wear barr,X,0.00,0.00,0.00,XXX,33.4009
A4392,Urinary pouch w st wear barr,X,0.00,0.00,0.00,XXX,33.4009
A4393,Urine pch w ex wear bar conv,X,0.00,0.00,0.00,XXX,33.4009
A4394,Ostomy pouch liq deodorant,X,0.00,0.00,0.00,XXX,33.4009
A4395,Ostomy pouch solid deodorant,X,0.00,0.00,0.00,XXX,33.4009
