code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
74420,Urography rtrgr +-kub,A,0.00,1.68,0.01,XXX,33.4009
74425,Urography antegrade rs&i,A,0.00,3.29,0.01,XXX,33.4009
74430,Contrast x-ray bladder,A,0.00,0.79,0.01,XXX,33.4009
74440,X-ray male genital tract,A,0.00,2.47,0.01,XXX,33.4009
74445,X-ray exam of penis,C,0.00,0.00,0.00,XXX,33.4009
74450,X-ray urethra/bladder,C,0.00,0.00,0.00,XXX,33.4009
74455,X-ray urethra/bladder,A,0.00,2.68,0.01,XXX,33.4009
74470,X-ray exam of kidney lesion,C,0.00,0.00,0.00,XXX,33.4009
74485,Dilation urtr/urt rs&i,A,0.00,2.51,0.01,XXX,33.4009
74712,Mri fetal sngl/1st gestation,A,0.00,7.97,0.03,XXX,33.4009
74713,Mri fetal ea addl gestation,A,0.00,3.33,0.01,ZZZ,33.4009
74740,X-ray female genital tract,A,0.00,2.16,0.01,XXX,33.4009
74742,X-ray fallopian tube,C,0.00,0.00,0.00,XXX,33.4009
74775,X-ray exam of perineum,C,0.00,0.00,0.00,XXX,33.4009
75557,Cardiac mri for morph,A,0.00,5.13,0.02,XXX,33.4009
75559,Cardiac mri w/stress img,A,0.00,7.31,0.02,XXX,33.4009
75561,Cardiac mri for morph w/dye,A,0.00,7.31,0.03,XXX,33.4009
75563,Card mri w/stress img & dye,A,0.00,8.71,0.03,XXX,33.4009
75565,Card mri veloc flow mapping,A,0.00,1.02,0.00,ZZZ,33.4009
75571,Ct hrt w/o dye w/ca test,A,0.00,2.16,0.02,XXX,33.4009
75572,Ct hrt w/3d image,A,0.00,4.44,0.03,XXX,33.4009
75573,Ct hrt c+ strux cgen hrt ds,A,0.00,5.68,0.04,XXX,33.4009
75574,Ct angio hrt w/3d image,A,0.00,6.40,0.04,XXX,33.4009
75577,Quan&char c athrosclrtc plaq,A,0.00,29.05,0.01,XXX,33.4009
75580,N-invas est c ffr sw aly cta,A,0.00,25.46,0.06,XXX,33.4009
75600,Contrast exam thoracic aorta,A,0.00,4.58,0.02,XXX,33.4009
